Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
LLN_1,1,LLN,LLN_1_0_0,Tell Leilan,90.0001,0,90.0002,0,0,90.0002,0,90.0002,0,0,0,0,90.0002,0,90.0001,0,0,90.0001,0,0,0,0,0,0,0,0,723066.155066667,4093173.05456667,1,90.0001,90.0002,90.0002,90.0001,90.0001,0,8.5951373544e-005,102,,,90.0002,"EBA1,EBA2,MBA,LBA,IA1",,112230
LLN_101,116,LLN,LLN_101_0_0,Abbas,0,0.78539815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729255.786,4092514.1011,1,0.78539815,0,0,0,0,0,0,,,,0.78539815,EBA1,,186513
LLN_106,67,LLN,LLN_106_0_0,Toueiyel,0,4.08,4.08,0,0,4.08,0,4.08,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,729549.4,4083222.5702,1,4.08,4.08,4.08,0,0,0,1.5418366506e-005,709,,,4.08,"EBA1,EBA2,MBA",,179313
LLN_112,68,LLN,LLN_112_0_0,Taya,0,3.4,3.4,0,0,3.4,0,0,0,0,0,0,3.4,0,0,0,0,3.4,0,0,0,0,0,0,0,0,723918.5952,4085425.0403,1,3.4,3.4,3.4,3.4,3.4,0,1.1613194806e-005,357,,,3.4,"EBA1,EBA2,MBA,LBA,IA1",,162394
LLN_12,16,LLN,LLN_12_0_0,Awda,3.52,0,3.52,0,0,3.52,0,3.52,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,734992.3783,4092482.7708,1,3.52,3.52,3.52,0,0,0,4.498039214e-006,628,,,3.52,"EBA1,EBA2,MBA",,161059
LLN_133,27,LLN,LLN_133_0_0,Abu Qassayeb,0,0.3,0.3,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710637.3923,4083547.211,1,0.3,0.3,0,0,0,0,3.316740608e-006,141,,,0.3,"EBA1,EBA2",,171239
LLN_137,3,LLN,LLN_137_0_0,Barham,1.327322874,0,1.327322874,0,0,0,0,0,0,0,0,0,1.327322874,0,0,0,0,0,0,0,0,0,0,0,0,0,723751.4573,4096537.8784,1,1.327322874,1.327322874,1.327322874,0,0,0,3.216321923e-006,400,,,1.327322874,"EBA1,EBA2,MBA",,186414
LLN_15,22,LLN,LLN_15_0_0,Blaij,0,6.2,6.2,0,0,6.2,0,6.2,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,717020.4457,4089425.1511,1,6.2,6.2,6.2,0,0,0,2.0022651714e-005,26,,,6.2,"EBA1,EBA2,MBA",,196550
LLN_155,120,LLN,LLN_155_0_0,Maqbara,1.44,1.44,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,1.44,0,0,0,0,0,0,0,0,735373.2813,4097069.3369,1,1.44,0,1.44,1.44,1.44,0,0,,,,1.44,"EBA1,MBA,LBA,IA1",,192444
LLN_157,170,LLN,LLN_157_0_0,Madhluma,1.2,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,722025.8324,4085736.0359,1,1.2,0,1.2,0,0,0,0,,,,1.2,"EBA1,MBA",,78370
LLN_165,123,LLN,LLN_165_0_0,Amri Kabir,0,2,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,714313.8059,4077328.6361,1,2,2,2,0,0,0,0,,,,2,"EBA1,EBA2,MBA",,92296
LLN_166,124,LLN,LLN_166_0_0,Mathlutheh Tawila,7.5,0,7.5,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715626.0855,4077186.3801,1,7.5,7.5,0,0,0,0,2.634195947e-006,889,,,7.5,"EBA1,EBA2",,183724
LLN_169,29,LLN,LLN_169_0_0,Qasr Faris,1.5625,0,1.5625,0,0,1.5625,0,1.5625,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,720233.6999,4081932.0909,1,1.5625,1.5625,1.5625,0,0,0,0,,,,1.5625,"EBA1,EBA2,MBA",,193427
LLN_17,23,LLN,LLN_17_0_0,Kulurah,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,714724.6724,4087225.6376,1,2,2,2,0,0,0,0,,,,2,"EBA1,EBA2,MBA",,189550
LLN_180,26,LLN,LLN_180_0_0,Ghazal,0,11.96,11.96,0,0,11.96,0,11.96,0,11.96,0,0,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,708606.3497,4084069.9172,1,11.96,11.96,11.96,0,0,0,4.44718999e-006,177,,,11.96,"EBA1,EBA2,MBA",,181143
LLN_186,75,LLN,LLN_186_0_0,Farfara,0,176,176,0,0,176,0,176,0,176,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,707967.0257,4077806.9197,1,176,176,176,176,176,0,4.6431759083e-005,776,,,176,"EBA1,EBA2,MBA,LBA,IA1",,182545
LLN_187,34,LLN,LLN_187_0_0,Doueitch,0.24,0.24,0,0,0,0.24,0,0.24,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,708528.0953,4074804.5872,1,0.24,0.24,0,0.24,0.24,0,1.078033618e-006,260,,,0.24,"EBA1,EBA2,LBA,IA1",,180053
LLN_189,28,LLN,LLN_189_0_0,Ahmed,2.25,0,2.25,0,0,2.25,0,2.25,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,709528.3978,4081186.7071,1,2.25,2.25,2.25,0,0,0,1.4709551834e-005,832,,,2.25,"EBA1,EBA2,MBA",,168658
LLN_220,45,LLN,LLN_220_0_0,Abra,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726591.9388,4067088.1463,1,0.6,0.6,0,0,0,0,0,,,,0.6,"EBA1,EBA2",,180355
LLN_223,47,LLN,LLN_223_0_0,Sultan et-Tellul,0,7.8,0,0,0,0,0,7.8,0,0,0,0,7.8,0,7.8,0,0,7.8,0,0,0,0,0,0,0,0,730368.3696,4063486.1668,1,7.8,7.8,7.8,7.8,7.8,0,1.6658734782e-005,729,,,7.8,"EBA1,EBA2,MBA,LBA,IA1",,196364
LLN_264,38,LLN,LLN_264_0_0,Abu Qadeir,6.25,0,6.25,0,0,6.25,0,6.25,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,737673.8578,4081954.8873,1,6.25,6.25,6.25,0,0,0,1.8560335792e-005,271,,,6.25,"EBA1,EBA2,MBA",,161630
LLN_34,101,LLN,LLN_34_0_0,Gir Margue,0,2.52,2.52,0,0,2.52,0,2.52,0,2.52,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,735718.9455,4098192.0107,1,2.52,2.52,2.52,0,0,0,1.534801748e-006,112,,,2.52,"EBA1,EBA2,MBA",,194968
LLN_36,185,LLN,LLN_36_0_0,,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,721881.9957,4085819.9406,1,0.0001,0.0001,0.0001,0,0,0,0,,,,,"EBA1,EBA2,MBA",,90438
LLN_38,186,LLN,LLN_38_0_0,,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,721826.0592,4085791.9724,1,0.0001,0.0001,0.0001,0,0,0,0,,,,,"EBA1,EBA2,MBA",,95924
LLN_47,21,LLN,LLN_47_0_0,Hamara,0,2.04,2.04,0,0,2.04,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,721634.1165,4086708.9056,1,2.04,2.04,2.04,0,0,0,3.701807156e-006,321,,,2.04,"EBA1,EBA2,MBA",,145524
LLN_49,50,LLN,LLN_49_0_0,Qarassa,0,10.9,0,0,0,0,0,10.9,0,0,0,0,10.9,0,10.9,0,0,10.9,0,0,0,0,0,0,0,0,720576.4412,4078638.8408,1,10.9,10.9,10.9,10.9,10.9,0,0,,,,10.9,"EBA1,EBA2,MBA,LBA,IA1",,141403
LLN_51,152,LLN,LLN_51_0_0,Qotba Tahtani,0,2.25,2.25,0,0,2.25,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,719942.2424,4095237.0037,1,2.25,2.25,2.25,0,0,0,0,,,,2.25,"EBA1,EBA2,MBA",,191553
LLN_54,51,LLN,LLN_54_0_0,Abu Khazaf,0,6.8,0,6.8,0,0,0,6.8,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,716144.1041,4083231.2352,1,6.8,6.8,6.8,0,0,0,1.4426159502e-005,317,,,6.8,"EBA1,EBA2,MBA",,179449
LLN_55,19,LLN,LLN_55_0_0,Mohammed Diyab,43,0,43,0,0,43,0,43,0,43,0,0,43,0,43,0,0,43,0,0,0,0,0,0,0,0,728393.4121,4089588.6093,1,43,43,43,43,43,0,9.760890266e-006,689,,,43,"EBA1,EBA2,MBA,LBA,IA1",,174297
LLN_59,25,LLN,LLN_59_0_0,(Tell Chermoukh),0.0001,0,0.0001,0,0,0.0001,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,712485.7021,4085005.0733,1,0.0001,0.0001,0.0001,0,0,0,7.910593616e-006,542,,,7.910593616e-006,"EBA1,EBA2,MBA",,167951
LLN_60,32,LLN,LLN_60_0_0,Abu Farah,6.38,0,6.38,0,0,6.38,0,6.38,0,6.38,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,733890.5264,4086178.6153,1,6.38,6.38,6.38,0,0,0,3.0407164301e-005,664,,,6.38,"EBA1,EBA2,MBA",,172636
LLN_68,154,LLN,LLN_68_0_0,,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,723624.6354,4087689.7596,1,0.5,0.5,0.5,0,0,0,0,,,,0.5,"EBA1,EBA2,MBA",,152533
LLN_87,62,LLN,LLN_87_0_0,Bazouna Kabira,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,731802.6239,4088159.7422,1,5,5,5,0,0,0,0,,,,5,"EBA1,EBA2,MBA",,169066
LLN_9,160,LLN,LLN_9_0_0,Rehaya 1,0,0,0,4.9875,0,0,0,0,0,0,4.9875,0,4.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,724228.542,4094017.257,1,4.9875,4.9875,4.9875,0,0,0,0,,,,4.9875,"EBA1,EBA2,MBA",,145984
LLN_96,65,LLN,LLN_96_0_0,Koubeiba,2.64,0,0,0,0,2.64,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,711985.8713,4088044.6113,1,2.64,2.64,2.64,0,0,0,7.666289425e-006,758,,,2.64,"EBA1,EBA2,MBA",,187308
NJS_10,390,NJS,NJS_10_0_0,,0,0,0,2.4001,0,0,0,0,0,0,0,0,5.6001,0,0,0,0,1.1001,0,2.2001,0,0,0,0,0,0,799862.39835,4073578.7478,1,2.4001,0,5.6001,1.1001,1.1001,2.2001,0,,,,5.6001,"EBA1,MBA,LBA,IA1,IA2",,42943
NJS_11,217,NJS,NJS_11_0_0,,0,0,0,0.7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,798459.1738,4070510.21317143,1,0.7001,0,0,0,0,0.7001,0,,,,0.7001,"EBA1,IA2",,187975
NJS_112,310,NJS,NJS_112_0_0,,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789054.113533333,4064060.53746667,1,0.0001,0,0,0,0,0,0,,,,,EBA1,,179539
NJS_12,218,NJS,NJS_12_0_0,,0,0,0,3.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1001,0,2.1001,0,0,0,0,0,0,800016.385466667,4071508.79996667,1,3.0001,0,0,2.1001,2.1001,2.1001,0,,,,3.0001,"EBA1,LBA,IA1,IA2",,178151
NJS_127,324,NJS,NJS_127_0_0,(Abu Kula),0,0,0,5.0002,0,0,0,0,0,0,5.0003,0,5.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,797428.27472,4063270.8198,1,5.0002,5.0003,5.0003,0,0,0,4.2939909816e-005,21,,,5.0003,"EBA1,EBA2,MBA",,144753
NJS_13,219,NJS,NJS_13_0_0,,0,0,0,1.3004,0,0,0,0,0,0,0,0,1.3003,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,794864.00424,4068440.5601,1,1.3004,0,1.3003,0,0,0.0002,0,,,,1.3004,"EBA1,MBA,IA2",,160526
NJS_137,334,NJS,NJS_137_0_0,,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780639.5815,4061680.6807,1,1.44,0,0,0,0,0,0,,,,1.44,EBA1,,84868
NJS_14,220,NJS,NJS_14_0_0,,0,0,0,1.9001,0,0,0,0,0,0,0,0,3.6001,0,3.6001,0,0,0.7001,0,0.4001,0,0,0,0,0,0,795967.86714,4068447.5022,1,1.9001,0,3.6001,3.6001,0.7001,0.4001,0,,,,3.6001,"EBA1,MBA,LBA,IA1,IA2",,170449
NJS_145,342,NJS,NJS_145_0_0,,0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1001,0,0,0,0,0,0,776352.683416667,4066475.00328333,1,1.0001,0,0,0,0,2.1001,0,,,,2.1001,"EBA1,IA2",,176177
NJS_17,223,NJS,NJS_17_0_0,,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5001,0,0,0,0,0,0,791181.439166667,4071319.17046667,1,0.0001,0,0,0,0,1.5001,0,,,,1.5001,"EBA1,IA2",,181948
NJS_170,365,NJS,NJS_170_0_0,,0,0,0,0.5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775770.691066667,4069093.91993333,1,0.5001,0,0,0,0,0,0,,,,0.5001,EBA1,,178019
NJS_177,372,NJS,NJS_177_0_0,,0,0,0,1.0001,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769895.53535,4069181.34455,1,1.0001,1.0001,0,0,0,0,1.2025807746e-005,487,,,1.0001,"EBA1,EBA2",,142854
NJS_18,224,NJS,NJS_18_0_0,,0,0,0,1.3001,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,0.8001,0,0,0,0,0,0,791808.83315,4069835.8676,1,1.3001,0,1.3001,0,0,0.8001,0,,,,1.3001,"EBA1,MBA,IA2",,160560
NJS_19,226,NJS,NJS_19_0_0,(Tell el-Butha)?,0,0,0,3.5001,0,0,0,0,0,0,0,0,6.0001,0,0,0,0,2.5001,0,0.4001,0,0,0,0,0,0,791045.227818182,4069095.38090909,1,3.5001,0,6.0001,2.5001,2.5001,0.4001,3.1636883212e-005,31,,,6.0001,"EBA1,MBA,LBA,IA1,IA2",,156520
NJS_2,209,NJS,NJS_2_0_0,,0,0,0,2.7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7001,0,0,0,0,0,0,792794.319025,4074381.519375,1,2.7001,0,0,0,0,2.7001,0,,,,2.7001,"EBA1,IA2",,66711
NJS_23,229,NJS,NJS_23_0_0,(Mushiya),0,0,0,5.0001,0,0,0,0,0,0,0,0,5.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,799319.374133333,4068567.47576667,1,5.0001,0,5.0001,0,0,0,4.011215874e-006,379,,,5.0001,"EBA1,MBA",,170311
NJS_26,232,NJS,NJS_26_0_0,(Tell el-Uwaynat 15),0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800290.2181,4067313.52875,1,0.0001,0,0,0,0,0,7.04482355e-006,504,,,7.04482355e-006,EBA1,,105037
NJS_28,234,NJS,NJS_28_0_0,,0,0,0,4.8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791066.816166667,4072602.05493333,1,4.8001,0,0,0,0,0,0,,,,4.8001,EBA1,,172062
NJS_29,235,NJS,NJS_29_0_0,,0,0,0,8.9001,0,0,0,0,0,0,8.9001,0,8.9002,0,0,0,0,0.0003,0,0.0003,0,0,0,0,0,0,790366.5326,4073810.72766,1,8.9001,8.9001,8.9002,0.0003,0.0003,0.0003,0,,,,8.9002,"EBA1,EBA2,MBA,LBA,IA1,IA2",,65469
NJS_30,236,NJS,NJS_30_0_0,,0,0,0,4.3001,0,0,0,0,0,0,0,0,3.4001,0,0,0,0,0.6001,0,1.3001,0,0,0,0,0,0,789206.028933333,4074918.67673333,1,4.3001,0,3.4001,0.6001,0.6001,1.3001,0,,,,4.3001,"EBA1,MBA,LBA,IA1,IA2",,141625
NJS_35,240,NJS,NJS_35_0_0,,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8002,0,0,0,0,0,0,801746.6923,4067935.04305,1,0.0002,0,0,0,0,1.8002,0,,,,1.8002,"EBA1,IA2",,184168
NJS_37,241,NJS,NJS_37_0_0,,0,0,0,1.5,0,0,0,0,0,0,0,0,0.7,0,0,0,0,1.7001,0,0.5001,0,0,0,0,0,0,803390.74525,4072279.2036875,1,1.5,0,0.7,1.7001,1.7001,0.5001,1.8687135521e-005,464,,,1.7001,"EBA1,MBA,LBA,IA1,IA2",,87775
NJS_39,243,NJS,NJS_39_0_0,,0,0,0,1.5002,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,803819.48418,4071087.5743,1,1.5002,0,0.0002,0.0002,0.0002,0,0,,,,1.5002,"EBA1,MBA,LBA,IA1",,184297
NJS_40,244,NJS,NJS_40_0_0,,0,0,0,0.5001,0,0,0,0,0,0,1.9001,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,805213.149466667,4071386.20273333,1,0.5001,1.9001,0,0,0,0.5001,0,,,,1.9001,"EBA1,EBA2,IA2",,146189
NJS_42,246,NJS,NJS_42_0_0,,0,0,0,4.1001,0,0,0,0,0,0,2.5001,0,6.0001,0,0.7001,0,0,0.7001,0,3.0001,0,0,0,0,0,0,802952.587109091,4069857.60347273,1,4.1001,2.5001,6.0001,0.7001,0.7001,3.0001,1.4255301246e-005,320,,,6.0001,"EBA1,EBA2,MBA,LBA,IA1,IA2",,195922
NJS_44,248,NJS,NJS_44_0_0,,0,0,0,1.1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1001,0,0,0,0,0,0,801320.373375,4065588.185275,1,1.1001,0,0,0,0,1.1001,0,,,,1.1001,"EBA1,IA2",,144380
